ano,edicao,cidade_sede,pais,delegacao,equipe,id_atleta,nome_atleta,sexo,idade,altura,peso,esporte,evento,medalha
1964,Summer,Tokyo,Japan,JPN,Japan,37504,Yoko Fujimoto (-Utida),F,21,155,56,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,45530,Yuriko Handa,F,24,166,60,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,52609,Sata Isobe (-Maruyama),F,19,173,60,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,57802,Masae Kasai (-Nakamura),F,31,174,63,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,62388,Masako Kondo,F,23,168,63,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,76589,Katsumi Matsumura (-Tida),F,20,173,74,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,76593,Yoshiko Matsumura (-Kanda),F,22,170,65,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,80580,Emiko Miyamoto (-Terayama),F,27,172,56,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,105919,Setsuko Sasaki,F,19,173,60,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,109710,Ayano Shibuki (-Yaegashi),F,23,165,61,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,109841,Yoko Shinozaki (-Tamura),F,19,171,65,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Japan,JPN,Japan,118456,Kinuko Tanida (-Idogawa),F,25,167,65,Volleyball,Volleyball Women's Volleyball,Gold
1964,Summer,Tokyo,Poland,POL,Poland,24515,Krystyna Czajkowska-Rawska,F,28,172,63,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,41174,Marianna Golimowska (Chyliska-),F,32,167,60,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,53433,Krystyna Jakubowska (Tabaka-),F,21,178,66,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,62746,Danuta Kordaczuk-Wagner,F,25,166,56,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,64381,Krystyna Krupa (Malinowska-),F,25,176,70,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,67774,Jzefa Ledwig (-Bben),F,29,174,71,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,75171,Jadwiga Marko-Ksiek,F,25,178,68,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,103695,"Jadwiga Maria Rutkowska (Abisiak-, -Dobrowolska)",F,30,172,69,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,111970,"Maria liwka (-Serkiz, -Pankowa)",F,28,168,64,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Poland,POL,Poland,117432,Zofia Antonina Szczeniewska (-Bryszewska),F,21,172,62,Volleyball,Volleyball Women's Volleyball,Bronze
1964,Summer,Tokyo,Romania,ROU,Romania,20604,Alexandrina Chezan,F,25,171,62,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,22320,Sonia Colceru,F,30,160,57,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,32548,Ileana Enculescu (-Dulu),F,19,174,65,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,41199,Elisabeta Goloie,F,28,171,72,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,52756,Doina Ivnescu (-Corbeanu),F,29,172,71,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,67432,Cornelia Lzeanu,F,21,167,62,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,80748,Ana Mocanu,F,27,165,60,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,96141,"Doina Rodica Popescu (Coste-, -Mo, -Vinan)",F,26,167,57,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,120700,Natalia Todorovschi (-Cernat),F,32,172,61,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Romania,ROU,Romania,125115,Lia Vanea,F,26,177,67,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,Russia,URS,Soviet Union,547,Nelli Mikhaylovna Abramova,F,24,171,60,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,11550,Astra Biltauere (-Rubene),F,20,168,64,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,16337,Lyudmila Stepanovna Buldakova (Meshcheryakova-),F,26,171,66,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,51126,Liudmyla Mykolavna Hureieva,F,21,184,75,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,57063,Valentina Alekseyevna Kamenyok-Vinogradova,F,21,171,74,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,58044,Marita Viktorovna Katusheva (Aven-),F,26,174,70,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,72173,Ninel Vasilyevna Lukanina (-Yevteyeva),F,27,171,67,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,83937,Valentyna Hryhorivna Myshak (-Voloshchuk),F,22,182,70,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,102632,Tatyana Aleksandrovna Roshchina (-Rodionova),F,23,174,70,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,103896,Inna Valeryevna Ryskal,F,20,172,74,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,103926,Antonina Alekseyevna Ryzhova (Moiseyeva-),F,30,164,64,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,Russia,URS,Soviet Union,120314,Tamara Petrovna Tikhonina (-Kliger),F,27,171,74,Volleyball,Volleyball Women's Volleyball,Silver
1964,Summer,Tokyo,South Korea,KOR,South Korea,20991,Choi Don-Hui,F,18,165,59,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,44311,Gwag Yong-Ja,F,17,167,60,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,49726,Hong Nam-Seon,F,19,168,60,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,54550,Jeong Jeong-Eun,F,19,168,60,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,59885,Kim Gil-Ja,F,21,174,67,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,67878,Lee Geun-Su,F,18,167,53,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,83226,Mun Gyeong-Suk,F,19,168,65,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,87593,O Cheong-Ja,F,20,164,58,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,87621,O Sun-Ok,F,18,169,64,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,108679,Seo Chun-Gang,F,20,168,61,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,133296,Yu Chun-Ja,F,19,161,53,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,South Korea,KOR,South Korea,133471,Yun Jeong-Suk,F,16,167,58,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,15092,"Patricia Ann Lucas ""Patti"" Bright",F,23,161,50,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,37866,Jean Kay Gaertner,F,25,178,60,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,38165,"Lou Sara Galloway (Clark-, McWilliams)",F,22,178,64,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,46369,"Barbara Jean ""Barbie"" Harwerth (-Navia)",F,23,175,66,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,83535,Linda Kathleen Murphy,F,21,188,75,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,89334,Gail Patricia O'Rourke (-Wong),F,21,172,75,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,90219,"Nancy Lee Owen (-Narbonne, -Fortner)",F,21,174,62,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,93114,"Mary Joan ""Mary Jo"" Peppler",F,19,183,73,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,93600,Mary Margaret Perry,F,21,173,59,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,93932,Sharon Roberta Peterson,F,21,169,57,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,119828,"Verneda Estella ""Neda"" Thomas",F,28,183,70,Volleyball,Volleyball Women's Volleyball,
1964,Summer,Tokyo,USA,USA,United States,128716,Jane Lois Ward,F,32,170,68,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,9986,Jlia Bendeov,F,28,178,68,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,50432,Vra Hrabkov (Derflov-),F,27,179,72,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,77122,Hilda Mazrov (-Pisarkov),F,25,166,55,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,79526,Anna Mifkov,F,25,175,71,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,82436,Elena Moskalov-Polkov,F,20,180,71,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,105944,Karla akov,F,25,174,66,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,108608,Jitka Seneck,F,28,165,65,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,111394,Eva irok,F,24,173,66,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,114719,Pavlna tefkov (-Kohtov),F,25,175,67,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,115882,Vra truncov (Linhartov-),F,22,175,66,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,120243,Irena Tich (Hrdkov-),F,25,176,73,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Czech Republic,TCH,Czechoslovakia,126971,Hana Vlaskov (-Marcoliniov),F,20,180,78,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Japan,JPN,Japan,37575,Sachiko Fukunaka,F,22,169,63,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,45166,Keiko Hama,F,20,172,69,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,52209,Setsuko Inoue,F,22,175,72,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,52943,Toyoko Iwahara,F,23,168,62,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,62059,Yukiyo Kojima,F,22,168,60,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,88335,Sumie Oinuma,F,22,171,60,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,109896,Kunie Shishikura,F,22,179,72,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,118004,Suzue Takayama,F,21,170,60,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Japan,JPN,Japan,133131,Setsuko Yoshida,F,25,172,64,Volleyball,Volleyball Women's Volleyball,Silver
1968,Summer,Mexico City,Mexico,MEX,Mexico,17116,Eloisa Cabada,F,20,176,68,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,18172,Alicia Crdeas,F,24,168,60,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,18729,Gloria Casales Ortz,F,22,166,62,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,38520,Blanca Garca,F,21,185,83,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,52240,Gloria Inzua,F,21,174,65,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,72989,Trinidad Macas,F,26,170,68,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,78641,Carolina Mendoza,F,22,168,60,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,84751,Patricia M. Nava Isherwood,F,20,179,62,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,86756,Isabel Nogueira,F,24,170,62,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,100276,Yolanda Reynoso,F,22,169,62,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,101817,Mara del Carmen Rodrguez,F,22,167,60,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Mexico,MEX,Mexico,102363,Rogelia Romo Garca,F,25,174,65,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,5484,Olga Asato Hichiva,F,19,166,65,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,23038,Irma Cordero Bonilla,F,26,168,59,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,37451,Luisa Fuentes Quijandria,F,20,175,72,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,54838,Esperanza Jimnez Prez,F,26,170,70,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,87349,Teresa Nuez Laos,F,17,160,59,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,98633,Ana Mara Ramrez Toledo,F,20,173,75,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,100241,Aida Reyna Flores,F,18,174,60,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,105135,Alicia Snchez Ros,F,20,166,62,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Peru,PER,Peru,125707,Norma Velarde Alvarez,F,21,169,74,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,Poland,POL,Poland,5732,Halina Aszkieowicz (-Wojno),F,21,179,70,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,20918,"Lidia Teresa Chmielnicka (muda-, -Obonczek)",F,29,170,60,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,24515,Krystyna Czajkowska-Rawska,F,32,172,63,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,53433,Krystyna Jakubowska (Tabaka-),F,25,178,66,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,64381,Krystyna Krupa (Malinowska-),F,29,176,70,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,67774,Jzefa Ledwig (-Bben),F,33,174,71,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,75171,Jadwiga Marko-Ksiek,F,29,178,68,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,86068,Barbara Wiesawa Niemczyk (Hermel-),F,25,174,63,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,89872,Krystyna Ostromcka-Guryn,F,20,176,62,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,96355,Elbieta Porzec-Nowak,F,23,175,62,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,117432,Zofia Antonina Szczeniewska (-Bryszewska),F,25,172,62,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Poland,POL,Poland,130191,Wanda Wiecha-Wanot,F,22,177,72,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Summer,Mexico City,Russia,URS,Soviet Union,16337,Lyudmila Stepanovna Buldakova (Meshcheryakova-),F,30,171,66,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,38184,Vera Illarionovna Galushka-Duyunova,F,23,182,75,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,57063,Valentina Alekseyevna Kamenyok-Vinogradova,F,25,171,74,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,66564,Vera Stepanovna Lantratova (-Ganzhenko),F,21,174,72,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,68826,Galina Aleksandrovna Leontyeva (Yelnitskaya-),F,26,170,74,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,79653,Lyudmila Nikolayevna Mikhaylovskaya (Makarova-),F,30,163,62,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,96081,Tatyana Petrovna Ponyayeva-Tretyakova,F,21,176,70,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,103896,Inna Valeryevna Ryskal,F,24,172,74,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,104734,Roza Galyamovna Salikhova,F,24,174,70,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,105896,Tatyana Filippovna Sarycheva,F,19,175,72,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,Russia,URS,Soviet Union,112474,Nina Nikolayevna Smoleyeva (-Nikitina),F,20,175,72,Volleyball,Volleyball Women's Volleyball,Gold
1968,Summer,Mexico City,South Korea,KOR,South Korea,3579,An Gyeong-Ja,F,18,169,59,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,51371,Hwang Gyu-Ok,F,20,168,60,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,60183,Kim Oe-Sun,F,18,170,68,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,60335,Kim Yeong-Ja,F,18,171,62,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,67864,Lee Eun-Ok,F,20,172,68,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,67942,Lee Hyang-Sim,F,21,164,54,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,83226,Mun Gyeong-Suk,F,23,168,65,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,91485,Park Geum-Suk,F,22,170,64,Volleyball,Volleyball Women's Volleyball,
1968,Summer,Mexico City,South Korea,KOR,South Korea,108686,Seo Hui-Suk,F,20,168,57,Volleyball,Volleyball Women's Volleyball,
