,ShirtNumber,PlayerName,Team,AttackPoints,Errors,AttemptsShots,AveragePerMatch,Success%,TotalAttempts
0,18,Boškovic Tijana,SRB,165,51,97,20.62,52.72,313
1,10,Kim Yeon Koung,KOR,122,35,115,15.25,44.85,272
2,18,Egonu Paola Ogechi,ITA,110,59,77,18.33,44.72,246
3,16,Rodrigues Fernanda,BRA,106,17,92,13.25,49.3,215
4,8,Goncharova Nataliya,ROC,95,36,88,15.83,43.38,219
5,10,Braga Guimaraes Gabriela,BRA,94,33,96,11.75,42.15,223
6,10,Fedorovtseva Arina,ROC,80,47,76,13.33,39.41,203
7,16,Voronkova Irina,ROC,79,36,69,13.17,42.93,184
8,14,Bartsch-Hackley Michelle,USA,79,46,102,9.88,34.8,227
9,11,Drews Andrea,USA,78,20,68,11.14,46.99,166
10,10,Larson Jordan,USA,76,27,88,9.5,39.79,191
11,20,Martinez Brayelin Elizabeth,DOM,71,25,82,14.2,39.89,178
12,13,Boz Meryem,TUR,69,26,67,13.8,42.59,162
13,13,Park Jeongah,KOR,68,36,114,8.5,31.19,218
14,12,Thompson Jordan,USA,66,17,36,16.5,55.46,119
15,4,Ishikawa Mayu,JPN,64,34,72,12.8,37.65,170
16,4,Kim Heejin,KOR,62,36,122,7.75,28.18,220
17,12,Li Yingying,CHN,58,29,63,11.6,38.67,150
18,2,Koga Sarina,JPN,55,12,69,18.33,40.44,136
19,11,Caixeta Tandara,BRA,55,26,62,9.17,38.46,143
20,5,Kiprono Sharon Chepchumba,KEN,53,26,55,10.6,39.55,134
21,16,Mercado Erika,ARG,52,30,50,10.4,39.39,132
22,9,Bosetti Caterina Chiara,ITA,51,27,43,8.5,42.15,121
23,14,Erdem Dündar Eda,TUR,49,14,24,8.17,56.32,87
24,9,Zhang Changning,CHN,48,26,25,9.6,48.48,99
25,21,Martinez Jineiry,DOM,47,14,36,7.83,48.45,97
26,99,Karakurt Ebrar,TUR,47,30,44,7.83,38.84,121
27,1,Kurogo Ai,JPN,47,28,59,9.4,35.07,134
28,14,Pietrini Elena,ITA,46,17,46,7.67,42.2,109
29,14,Rivera Brens Prisilla,DOM,45,13,43,7.5,44.55,101
30,7,Baladin Hande,TUR,44,19,43,7.33,41.51,106
31,15,Da Silva Ana Carolina,BRA,44,16,33,5.5,47.31,93
32,2,De Oliveira Saad Gattaz Caroline,BRA,43,10,27,5.38,53.75,80
33,22,Washington Haleigh,USA,42,13,35,5.25,46.67,90
34,16,Rasic Milena,SRB,42,13,29,5.25,50.0,84
35,18,Gunes Zehra,TUR,42,16,33,7.0,46.15,91
36,2,Zhu Ting,CHN,34,16,46,11.33,35.42,96
37,16,Peña Isabel Yonkaira Paola,DOM,33,17,38,5.5,37.5,88
38,1,Busa Bianka,SRB,32,10,34,4.0,42.11,76
39,4,Kasaya Leonida,KEN,32,25,28,6.4,37.65,85
40,14,Yang Hyo Jin,KOR,32,9,24,4.0,49.23,65
41,7,Montibeller Rosamaria,BRA,32,13,36,4.57,39.51,81
42,4,Bulaich Simian Daniela,ARG,30,20,46,6.0,31.25,96
43,19,Milenkovic Bojana,SRB,30,11,37,3.75,38.46,78
44,9,Ismailoglu Meliha,TUR,30,13,41,5.0,35.71,84
45,1,Yuan Xinyue,CHN,29,6,28,5.8,46.03,63
46,6,Gong Xiangyu,CHN,29,15,39,5.8,34.94,83
47,6,Koroleva Irina,ROC,28,12,23,4.67,44.44,63
48,3,Nizetich Paula Yamila,ARG,28,26,46,5.6,28.0,100
49,16,Akinradewo Foluke,USA,27,11,27,3.38,41.54,65
50,5,Popovic Mina,SRB,26,5,19,3.25,52.0,50
51,23,Gonzalez Lopez Gaila Ceneida,DOM,26,15,37,4.33,33.33,78
52,14,Moim Mercy,KEN,26,13,35,5.2,35.14,74
53,13,Fahr Sarah Luisa,ITA,24,8,14,4.0,52.17,46
54,5,Shimamura Haruyo,JPN,22,4,27,4.4,41.51,53
55,18,De La Cruz De Peña Bethania,DOM,21,17,43,3.5,25.93,81
56,11,Araki Erika,JPN,21,11,23,4.2,38.18,55
57,8,Ishii Yuki,JPN,20,21,22,4.0,31.75,63
58,1,Rodriguez Elina María,ARG,19,18,30,4.75,28.36,67
59,11,Lazcano Julieta Constanza,ARG,17,6,10,3.4,51.52,33
