,ShirtNumber,PlayerName,Team,Digs,Errors,Receptions,AveragePerMatch,Success%,TotalAttempts
0,9,Oh Jiyoung,KOR,93,60,11,11.62,56.71,164
1,10,Kim Yeon Koung,KOR,83,41,20,10.38,57.64,144
2,4,Wong-Orantes Justine,USA,82,42,20,10.25,56.94,144
3,18,Brait Camila,BRA,82,21,20,10.25,66.67,123
4,19,Podkopaeva Anna,ROC,73,34,21,12.17,57.03,128
5,10,Braga Guimaraes Gabriela,BRA,66,33,12,8.25,59.46,111
6,2,Akoz Simge Sebnem,TUR,65,33,20,10.83,55.08,118
7,5,Castillo Brenda,DOM,64,33,19,10.67,55.17,116
8,17,Popovic Silvija,SRB,61,39,11,7.62,54.95,111
9,10,Larson Jordan,USA,60,31,12,7.5,58.25,103
10,14,Bartsch-Hackley Michelle,USA,56,32,15,7.0,54.37,103
11,16,Voronkova Irina,ROC,54,42,16,9.0,48.21,112
12,6,De Gennaro Monica,ITA,53,28,15,8.83,55.21,96
13,16,Rodrigues Fernanda,BRA,53,36,15,6.62,50.96,104
14,6,Kobata Mako,JPN,51,24,7,10.2,62.2,82
15,3,Yeum Hye Seon,KOR,50,27,5,6.25,60.98,82
16,19,Milenkovic Bojana,SRB,49,24,7,6.12,61.25,80
17,4,Ishikawa Mayu,JPN,49,33,7,9.8,55.06,89
18,12,Rizzo Tatiana Soledad,ARG,45,39,13,9.0,46.39,97
19,1,Kurogo Ai,JPN,44,30,4,8.8,56.41,78
20,18,Boškovic Tijana,SRB,43,25,11,5.38,54.43,79
21,9,Bosetti Caterina Chiara,ITA,40,18,10,6.67,58.82,68
22,1,Busa Bianka,SRB,38,13,3,4.75,70.37,54
23,6,Gong Xiangyu,CHN,38,13,7,7.6,65.52,58
24,11,Caixeta Tandara,BRA,38,18,9,6.33,58.46,65
25,18,Wang Mengjie,CHN,36,25,14,7.2,48.0,75
26,9,Ismailoglu Meliha,TUR,36,26,12,6.0,48.65,74
27,13,Startseva Evgeniya,ROC,33,29,11,5.5,45.21,73
28,8,Goncharova Nataliya,ROC,31,18,9,5.17,53.45,58
29,2,Poulter Jordyn,USA,31,21,20,4.43,43.06,72
30,7,Baladin Hande,TUR,30,27,11,5.0,44.12,68
31,10,Fedorovtseva Arina,ROC,29,27,12,4.83,42.65,68
