,ShirtNumber,PlayerName,Team,AttackPoints,BlockPoints,ServePoints,TotalPoints
0,18,Boškovic Tijana,SRB,165,15,12,192
1,10,Kim Yeon Koung,KOR,122,9,5,136
2,18,Egonu Paola Ogechi,ITA,110,8,8,126
3,16,Rodrigues Fernanda,BRA,106,9,5,120
4,10,Braga Guimaraes Gabriela,BRA,94,9,3,106
5,8,Goncharova Nataliya,ROC,95,10,0,105
6,10,Fedorovtseva Arina,ROC,80,9,13,102
7,16,Voronkova Irina,ROC,79,7,7,93
8,10,Larson Jordan,USA,76,9,6,91
9,14,Bartsch-Hackley Michelle,USA,79,7,5,91
10,11,Drews Andrea,USA,78,7,4,89
11,13,Park Jeongah,KOR,68,10,4,82
12,12,Thompson Jordan,USA,66,9,3,78
13,20,Martinez Brayelin Elizabeth,DOM,71,6,0,77
14,13,Boz Meryem,TUR,69,6,2,77
15,4,Kim Heejin,KOR,62,7,7,76
16,18,Gunes Zehra,TUR,42,29,3,74
17,15,Da Silva Ana Carolina,BRA,44,23,6,73
18,14,Erdem Dündar Eda,TUR,49,18,5,72
19,2,De Oliveira Saad Gattaz Caroline,BRA,43,22,7,72
20,4,Ishikawa Mayu,JPN,64,3,2,69
21,12,Li Yingying,CHN,58,4,6,68
22,22,Washington Haleigh,USA,42,20,4,66
23,21,Martinez Jineiry,DOM,47,16,2,65
24,16,Rasic Milena,SRB,42,17,4,63
25,9,Bosetti Caterina Chiara,ITA,51,6,3,60
26,9,Zhang Changning,CHN,48,8,4,60
27,16,Mercado Erika,ARG,52,6,1,59
28,2,Koga Sarina,JPN,55,4,0,59
29,5,Kiprono Sharon Chepchumba,KEN,53,6,0,59
30,11,Caixeta Tandara,BRA,55,1,2,58
31,7,Baladin Hande,TUR,44,8,3,55
32,99,Karakurt Ebrar,TUR,47,2,5,54
33,1,Kurogo Ai,JPN,47,4,3,54
34,14,Yang Hyo Jin,KOR,32,20,2,54
35,6,Koroleva Irina,ROC,28,20,4,52
36,14,Pietrini Elena,ITA,46,2,3,51
37,16,Akinradewo Foluke,USA,27,21,2,50
38,14,Rivera Brens Prisilla,DOM,45,4,1,50
39,7,Montibeller Rosamaria,BRA,32,13,3,48
40,5,Popovic Mina,SRB,26,18,2,46
41,19,Milenkovic Bojana,SRB,30,11,1,42
42,1,Yuan Xinyue,CHN,29,10,3,42
43,1,Busa Bianka,SRB,32,2,7,41
44,13,Fahr Sarah Luisa,ITA,24,14,2,40
45,2,Zhu Ting,CHN,34,4,1,39
46,16,Peña Isabel Yonkaira Paola,DOM,33,1,2,36
47,6,Gong Xiangyu,CHN,29,4,3,36
48,9,Ismailoglu Meliha,TUR,30,4,2,36
49,23,Gonzalez Lopez Gaila Ceneida,DOM,26,5,3,34
50,4,Kasaya Leonida,KEN,32,1,1,34
51,14,Fetisova Irina,ROC,14,17,1,32
52,3,Nizetich Paula Yamila,ARG,28,1,3,32
53,14,Moim Mercy,KEN,26,4,2,32
54,11,Danesi Anna,ITA,15,14,2,31
55,4,Bulaich Simian Daniela,ARG,30,1,0,31
56,11,Araki Erika,JPN,21,7,2,30
57,18,De La Cruz De Peña Bethania,DOM,21,7,1,29
58,5,Shimamura Haruyo,JPN,22,5,1,28
59,3,Eve Mejia Lisvel Elisa,DOM,15,10,2,27
60,10,Ognjenovic Maja,SRB,15,4,7,26
61,9,Mihajlovic Brankica,SRB,14,4,4,22
62,11,Kim Su Ji,KOR,15,4,3,22
63,12,Pereira Natalia,BRA,17,4,1,22
64,7,Wang Yuanyuan,CHN,13,6,2,21
65,4,Senoglu Tugba,TUR,17,3,1,21
66,8,Ishii Yuki,JPN,20,0,0,20
67,17,Sylla Miryam Fatime,ITA,15,3,1,19
68,11,Lazcano Julieta Constanza,ARG,17,2,0,19
69,1,Rodriguez Elina María,ARG,19,0,0,19
70,1,Lee Soyoung,KOR,17,0,0,17
71,14,Aleksic Maja,SRB,8,6,1,15
72,13,Farriol Bianca,ARG,5,7,2,14
