,ShirtNumber,PlayerName,Team,Sucessful,Errors,AttemptsAttempts,AveragePerMatch,Success%,TotalAttempts
0,2,Poulter Jordyn,USA,247,4,310,35.29,44.03,561
1,10,Ognjenovic Maja,SRB,244,5,248,30.5,49.09,497
2,13,Startseva Evgeniya,ROC,238,1,309,39.67,43.43,548
3,3,Yeum Hye Seon,KOR,223,5,372,27.88,37.17,600
4,7,Marte Frica Niverka Dharlenis,DOM,189,3,258,31.5,42.0,450
5,8,Silva Carneiro Macris Fernanda,BRA,183,3,224,30.5,44.63,410
6,12,Momii Aki,JPN,159,2,248,31.8,38.88,409
7,9,Ratzke Roberta Silva,BRA,152,1,158,19.0,48.87,311
8,3,Özbay Cansu,TUR,148,2,168,24.67,46.54,318
9,5,Malinov Ofelia,ITA,144,2,185,24.0,43.5,331
10,14,Mayer Victoria,ARG,107,4,189,21.4,35.67,300
11,11,Aydemir Akyol Naz,TUR,107,3,143,21.4,42.29,253
12,1,Wairimu Jane Wacu,KEN,99,4,163,19.8,37.22,266
13,11,Yao Di,CHN,97,3,111,19.4,45.97,211
14,8,Orro Alessia,ITA,81,0,89,13.5,47.65,170
15,16,Ding Xia,CHN,78,0,122,26.0,39.0,200
16,1,Hancock Micha,USA,65,3,104,16.25,37.79,172
17,7,An Hyejin,KOR,54,1,107,6.75,33.33,162
18,5,Castillo Brenda,DOM,39,2,72,6.5,34.51,113
19,3,Tashiro Kanami,JPN,38,1,61,7.6,38.0,100
20,2,Germanier Sabrina Soledad,ARG,35,0,59,8.75,37.23,94
21,17,Popovic Silvija,SRB,25,0,17,3.12,59.52,42
22,4,Wong-Orantes Justine,USA,24,0,26,3.0,48.0,50
23,8,Mirkovic Sladjana,SRB,24,0,33,4.0,42.11,57
24,9,Oh Jiyoung,KOR,18,0,34,2.25,34.62,52
25,19,Podkopaeva Anna,ROC,17,0,38,2.83,30.91,55
26,8,Lusenaka Joy,KEN,17,0,30,3.4,36.17,47
27,2,Akoz Simge Sebnem,TUR,16,0,37,2.67,30.19,53
28,18,Brait Camila,BRA,16,0,29,2.0,35.56,45
29,6,De Gennaro Monica,ITA,15,0,22,2.5,40.54,37
30,6,Kobata Mako,JPN,13,0,21,2.6,38.24,34
